ticker,company,candidates,articles,sentences,articles_recount,sentences_recount,labeled_sentences,esg_sentences
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,381,40,1216,40,1216,1216,598
CKG,CTCP Tập đoàn CIC,448,39,1205,39,1205,1205,362
PC1,CTCP Tập Đoàn PC1,424,40,1197,40,1197,1197,308
C47,CTCP Xây dựng 47,458,40,1196,40,1196,1196,657
HUB,CTCP Xây lắp Thừa Thiên Huế,958,40,1162,40,1162,1162,603
APH,CTCP Tập đoàn An Phát Holdings,53,40,1154,40,1154,1154,442
HPG,CTCP Tập đoàn Hòa Phát,1001,40,1152,40,1152,1152,569
CDC,CTCP Chương Dương,810,40,1144,40,1144,1144,539
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,160,40,1133,40,1133,1133,514
NBB,CTCP Đầu tư Năm Bảy Bảy,154,40,1133,40,1133,1133,611
KHG,CTCP Tập đoàn Khải Hoàn Land,175,40,1128,40,1128,1128,412
LGC,CTCP Đầu tư Cầu đường CII,174,40,1125,40,1125,1125,318
CCC,CTCP Xây dựng CDC,72,40,1116,40,1116,1116,583
LHG,CTCP Long Hậu,390,40,1105,40,1105,1105,569
IJC,CTCP Phát triển Hạ tầng Kỹ thuật,192,40,1069,40,1069,1069,363
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,192,40,1066,40,1066,1066,487
ITC,CTCP Đầu tư và Kinh doanh Nhà,377,40,1052,40,1052,1052,595
LM8,CTCP Lilama 18,64,40,1052,40,1052,1052,497
NLG,CTCP Đầu tư Nam Long,90,40,1049,40,1049,1049,530
HTN,CTCP Hưng Thịnh Incons,156,40,1034,40,1034,1034,269
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,3564,40,1023,40,1023,1023,488
LDG,CTCP Đầu tư LDG,278,40,1016,40,1016,1016,225
DC4,CTCP DICERA Holdings,246,40,1006,40,1006,1006,200
DRH,CTCP DRH Holdings,112,40,998,40,998,998,286
L10,CTCP Lilama 10,68,40,996,40,996,996,511
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,34,31,994,31,994,994,305
FIR,CTCP Địa ốc First Real,69,40,994,40,994,994,304
FCN,CTCP FECON,122,40,982,40,982,982,268
VIC,Tập đoàn VINGROUP - CTCP,4361,40,977,40,977,977,226
TCD,CTCP Tập đoàn Xây dựng TRACODI,260,40,970,40,970,970,334
CTD,CTCP Xây dựng Coteccons,157,40,899,40,899,899,415
PTL,CTCP Victory Group,223,40,861,40,861,861,415
VGC,Tổng Công ty Viglacera - CTCP,524,40,856,40,856,856,225
VPI,CTCP Phát triển Bất động sản Văn Phú,100,40,842,40,842,842,362
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,96,40,823,40,823,823,311
VRE,CTCP Vincom Retail,165,40,817,40,817,817,146
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,261,40,799,40,799,799,306
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành,138,40,791,40,791,791,316
SZC,CTCP Sonadezi Châu Đức,144,40,789,40,789,789,171
SZL,CTCP Sonadezi Long Thành,133,40,772,40,772,772,174
HU1,CTCP Đầu tư và Xây dựng HUD1,75,34,737,34,737,737,154
